[ПЗПІ-24]
УМякІ	Українська мова як іноземна : Пз (40) - ЕЕКи-24-1;ПЗПІи-24-1;ЕСТМи-24-1;БІБМІи-24-1;АКТСІи-24-1, Явтушенко В. М.:
Фіз	Фізика : Лк (20) - ПЗПІ-24-1;ПЗПІ-24-3;ПЗПІ-24-2, Коваленко О. М.: Лк (20) - ПЗПІ-24-4;ПЗПІ-24-5;ПЗПІ-24-6;ПЗПІ-24-7;ПЗПІи-24-1, Мягкий О. В.: Пз (8) - ПЗПІ-24-1, Чубукін О. С.: Пз (8) - ПЗПІ-24-2, Чубукін О. С.: Пз (8) - ПЗПІ-24-3, Чубукін О. С.: Пз (8) - ПЗПІ-24-4;ПЗПІи-24-1, Мягкий О. В.: Пз (8) - ПЗПІ-24-5, Мягкий О. В.: Пз (8) - ПЗПІ-24-6, Мягкий О. В.: Пз (8) - ПЗПІ-24-7, Мягкий О. В.: Лб (8) - ПЗПІ-24-1, Чубукін О. С.: Лб (8) - ПЗПІ-24-2, Чубукін О. С.: Лб (8) - ПЗПІ-24-3, Чубукін О. С.: Лб (8) - ПЗПІ-24-4;ПЗПІи-24-1, Мягкий О. В.: Лб (8) - ПЗПІ-24-5, Мягкий О. В.: Лб (8) - ПЗПІ-24-6, Мягкий О. В.: Лб (8) - ПЗПІ-24-7, Мягкий О. В.:
ФВ	Фізичне виховання (за рахунок вільного часу студентів) : Пз (34) - ПЗПІ-24-1: Пз (34) - ПЗПІ-24-2: Пз (34) - ПЗПІ-24-3: Пз (34) - ПЗПІ-24-4;ПЗПІи-24-1: Пз (34) - ПЗПІ-24-5: Пз (34) - ПЗПІ-24-6: Пз (34) - ПЗПІ-24-7:

[ПЗПІ-23]
*ВІА	*Вступ до ігрової аналітики : Лк (22) - *ВІА(ПЗПІ-23-)-1;*ВІА(ПЗПІ-23-)-2;*ВІА(ПЗПІ-23-)-3;*ВІА(ПЗПІ-23-)-4;*ВІА(ПЗПІ-23-)-5, Саманцов О. О.: Пз (8) - *ВІА(ПЗПІ-23-)-1, Саманцов О. О.: Пз (8) - *ВІА(ПЗПІ-23-)-2, Саманцов О. О.: Пз (8) - *ВІА(ПЗПІ-23-)-3, Саманцов О. О.: Пз (8) - *ВІА(ПЗПІ-23-)-4, Саманцов О. О.: Пз (8) - *ВІА(ПЗПІ-23-)-5, Саманцов О. О.: Лб (20) - *ВІА(ПЗПІ-23-)-1, Саманцов О. О.: Лб (20) - *ВІА(ПЗПІ-23-)-2, Саманцов О. О.: Лб (20) - *ВІА(ПЗПІ-23-)-3, Саманцов О. О.: Лб (20) - *ВІА(ПЗПІ-23-)-4, Саманцов О. О.: Лб (20) - *ВІА(ПЗПІ-23-)-5, Саманцов О. О.:
*ДРСД	*Додаткові розділи теорії алгоритмів та структур даних (advance) : Лк (38) - *ДРСД(ПЗПІ-23-)-1, Ляпота В. М.: Пз (8) - *ДРСД(ПЗПІ-23-)-1, Ляпота В. М.: Лб (4) - *ДРСД(ПЗПІ-23-)-1, Ляпота В. М.:
ІМ	Іноземна мова : Пз (42) - ПЗПІ-23-1, Шалаєва В. В., Сергієнко Н. О.: Пз (50) - ПЗПІ-23-10, Перепелиця К. Ю., Сукнов М. П.: Пз (50) - ПЗПІ-23-2, Чепелєва М. А.: Пз (50) - ПЗПІ-23-3, Парфьонова О. В.: Пз (50) - ПЗПІ-23-4, Сергієнко Н. О.: Пз (50) - ПЗПІ-23-5, Шалаєва В. В., Вергун Т. І.: Пз (50) - ПЗПІ-23-6, Чепелєва М. А.: Пз (50) - ПЗПІ-23-7, Мельник С. С., Кравченко Н. В.: Пз (50) - ПЗПІ-23-8, Макаров В. Б., Роздолянська О. Г.: Пз (50) - ПЗПІ-23-9, Архипова В. 0., Парфьонова О. В.:
ІМ1п	Іноземна мова 1підгрупа : Пз (8) - ПЗПІ-23-1, Шалаєва В. В.:
ІМ2п	Іноземна мова 2 підгрупа : Пз (8) - ПЗПІ-23-1, Сергієнко Н. О.:
*МСП	*Мови системного програмування: С, С++ : Лк (24) - *МСП(ПЗПІ-23-)-1;*МСП(ПЗПІ-23-)-2, Мельнікова Р. В.: Пз (6) - *МСП(ПЗПІ-23-)-1, Мельнікова Р. В.: Пз (6) - *МСП(ПЗПІ-23-)-2, Мельнікова Р. В.: Лб (20) - *МСП(ПЗПІ-23-)-1, Демчук В. Г.: Лб (20) - *МСП(ПЗПІ-23-)-2, Демчук В. Г.:
ОС	Операційні системи : Лк (38) - ПЗПІ-23-1,2,3,4,5, Качко О. Г.: Лк (38) - ПЗПІ-23-6,7,8,9,10, Хацько Н. Є.: Пз (12) - ПЗПІ-23-1, Мельнікова Р. В.: Пз (12) - ПЗПІ-23-10, Олійник О. О.: Пз (12) - ПЗПІ-23-2, Мельнікова Р. В.: Пз (12) - ПЗПІ-23-3, Мельнікова Р. В.: Пз (12) - ПЗПІ-23-4, Мельнікова Р. В.: Пз (12) - ПЗПІ-23-5, Мельнікова Р. В.: Пз (12) - ПЗПІ-23-6, Олійник О. О.: Пз (12) - ПЗПІ-23-7, Олійник О. О.: Пз (12) - ПЗПІ-23-8, Олійник О. О.: Пз (12) - ПЗПІ-23-9, Олійник О. О.: Лб (32) - ПЗПІ-23-1, Мельнікова Р. В.: Лб (32) - ПЗПІ-23-10, Олійник О. О.: Лб (32) - ПЗПІ-23-2, Мельнікова Р. В.: Лб (32) - ПЗПІ-23-3, Мельнікова Р. В.: Лб (32) - ПЗПІ-23-4, Мельнікова Р. В.: Лб (32) - ПЗПІ-23-5, Мельнікова Р. В.: Лб (32) - ПЗПІ-23-6, Олійник О. О.: Лб (32) - ПЗПІ-23-7, Олійник О. О.: Лб (32) - ПЗПІ-23-8, Олійник О. О.: Лб (32) - ПЗПІ-23-9, Олійник О. О.:
*ОDS	*Основи Data Science : Лк (22) - *ОDS(ПЗПІ-23-)-1;*ОDS(ПЗПІ-23-)-2, Смеляков С. В.: Пз (8) - *ОDS(ПЗПІ-23-)-1, Богомолов О. Є.: Пз (8) - *ОDS(ПЗПІ-23-)-2, Богомолов О. Є.: Лб (20) - *ОDS(ПЗПІ-23-)-1, Богомолов О. Є.: Лб (20) - *ОDS(ПЗПІ-23-)-2, Богомолов О. Є.:
